model,family,openness,release_date,link
AceGPT-V2-8B,AceGPT,Open-weight,2024-06-20,FreedomIntelligence/AceGPT-v2-8B-Chat
AFM-4.5B,AFM,Open-weight,2025-06-18,arcee-ai/AFM-4.5B
ALLaM-7B,ALLaM,Open-weight,2025-02-13,humain-ai/ALLaM-7B-Instruct-preview
AmberChat,AmberChat,Open-source,2023-12-06,LLM360/AmberChat
Audio-Flamingo-2,Audio Flamingo,Open-weight,2025-03-05,nvidia/audio-flamingo-2
Audio-Flamingo-3,Audio Flamingo,Open-weight,2025-07-08,nvidia/audio-flamingo-3-hf
Audio-Flamingo-Chat,Audio Flamingo,Open-weight,2024-02-26,nvidia/audio-flamingo
Audio-Reasoner,Audio,Open-weight,2025-03-04,zhifeixie/Audio-Reasoner
Audio-Thinker,Audio,Open-weight,,
Aya,Aya,Open-weight,,
Aya-23-8B,Aya,Open-weight,2024-05-23,CohereForAI/aya-23-8B
Aya-23-32B,Aya,Open-weight,2024-05-23,CohereForAI/aya-23-32B
Aya-101,Aya,Open-weight,2024-02-12,CohereForAI/aya-101
Aya-Expanse-8B,Aya,Open-weight,2024-10-23,CohereLabs/aya-expanse-8b
Aya-Expanse-32B,Aya,Open-weight,2024-10-24,CohereForAI/aya-expanse-32b
Babel-9B-Chat,Babel,Open-weight,2025-03-02,Tower-Babel/Babel-9B-Chat
Babel-83B-Chat,Babel,Open-weight,2025-03-02,Tower-Babel/Babel-83B-Chat
Baichuan-Audio,Baichuan,Open-weight,2024-10-11,baichuan-inc/Baichuan-Audio-Instruct
Baichuan-Omni,Baichuan,Open-weight,2024-10-11,baichuan-inc/Baichuan-Omni-1.5
Baichuan2-7B-Base,Baichuan,Open-weight,2023-09-06,baichuan-inc/Baichuan2-7B-Base
BERT,BERT,Open-weight,2018-11-14,google-bert/bert-base-uncased
BLOOM,BLOOM,Open-weight,2022-05-19,bigscience/bloom
BLOOMZ,BLOOMZ,Open-source,2022-09-17,bigscience/bloomz
Bloomz-7b1,BLOOMZ,Open-source,2022-11-17,bigscience/bloomz-7b1
Bloomz-7b1-Mt,BLOOMZ,Open-source,2022-11-17,bigscience/bloomz-7b1-mt
BLSP,BLSP,Open-weight,2023-09-01,cwang621/blsp
ChatGPT-4o-Latest,ChatGPT,Closed,2024-05-13,https://chatgpt.com/
ChatGPT-Version-Unstated,ChatGPT,Closed,,https://chatgpt.com/
Claude-3-Haiku,Claude,Closed,,
Claude-3-Opus,Claude,Closed,,
Claude-3.5-Haiku,Claude,Closed,2024-10-22,https://www.anthropic.com/news/claude-3-5-haiku
Claude-3.5-Sonnet,Claude,Closed,2024-06-20,https://www.anthropic.com/news/claude-3-5-sonnet
Claude-3.7-Sonnet,Claude,Closed,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet
Claude-4-Sonnet,Claude,Closed,2025-05-22,https://www.anthropic.com/claude/sonnet
Claude-4.1-Opus,Claude,Closed,2025-08-05,https://www.anthropic.com/claude/opus
Claude-4.5-Haiku,Claude,Closed,2025-10-15,https://www.anthropic.com/news/claude-haiku-4-5
Claude-4.5-Opus,Claude,Closed,2025-11-24,https://www.anthropic.com/claude/opus
Claude-4.5-Sonnet,Claude,Closed,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5
Claude-4.5-Sonnet-Thinking,Claude,Closed,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5
Claude-4.6-Opus,Claude,Closed,2026-02-05,https://www.anthropic.com/claude/opus
Claude-4.6-Sonnet,Claude,Closed,2026-02-17,https://www.anthropic.com/claude/sonnet
Claude-4.7-Opus,Claude,Closed,2026-04-16,https://www.anthropic.com/claude/opus
Claude-4.8-Opus,Claude,Closed,2026-05-28,https://www.anthropic.com/claude/opus
Claude-5-Opus,Claude,Closed,2026-07-24,https://www.anthropic.com/claude/opus
Claude-OPUS-MT,Claude,Closed,,
Command-A,Command,Open-weight,2025-03-13,CohereLabs/c4ai-command-a-03-2025
Cydonia-24B-V4.1,Cydonia,Open-weight,2025-05-01,TheDrummer/Cydonia-24B-v4.1
DBRX-Instruct,DBRX,Open-weight,2024-03-27,databricks/dbrx-instruct
Deb-OPUS-MT,Deb,Open-weight,,
DeBERTa-Large,DeBERTa,Open-weight,2020-07-03,microsoft/deberta-large
DeBERTa-V3-Large,DeBERTa,Open-weight,2021-10-18,microsoft/deberta-v3-large
DeepSeek-7B,DeepSeek,Open-weight,2023-11-29,deepseek-ai/deepseek-llm-7b-base
DeepSeek-Chat-V3.1,DeepSeek,Open-weight,2025-08-21,deepseek-ai/DeepSeek-V3.1
DeepSeek-R1,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1
DeepSeek-R1-7B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B
DeepSeek-R1-8B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Llama-8B
DeepSeek-R1-14B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B
DeepSeek-R1-32B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
DeepSeek-R1-70B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
DeepSeek-R1-0528,DeepSeek,Open-weight,2025-05-28,deepseek-ai/DeepSeek-R1-0528
DeepSeek-R1-Distill-Llama-8B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Llama-8B
DeepSeek-R1-Distill-Llama-70B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B
