model	release_date
Fable 5	2026-06-09
Opus 5	2026-07-24
Gemini 3.7 Flash	2026-08-13
GPT-5.6 Sol	2026-07-09
GPT-5.5	2026-04-23
Gemini 3.1 Pro	2026-02-19
GPT-5.4	2026-03-05
Opus 4.8	2026-05-28
Kimi K3	2026-07-16
Gemini 3 Pro	2025-11-18
Gemini 3.5 Flash	2026-05-19
GPT-5.6 Terra	2026-07-09
Opus 4.7	2026-04-16
Opus 4.6	2026-02-05
GLM 5.2	2026-06-16
Muse Spark 1.1	2026-07-09
Gemini 3 Flash	2025-12-17
GPT-5.2	2025-12-11
Grok 4.5	2026-07-08
Opus 4.5	2025-11-24
Kimi K2.6	2026-04-20
GPT-5.6 Luna	2026-07-09
GPT-5.1	2025-11-12
GPT-5	2025-08-07
GLM 5.1	2026-04-07
GPT-5.4-mini	2026-03-17
DeepSeek 4 Pro	2026-04-24
Sonnet 4.6	2026-02-17
Grok 4	2025-07-09
o3	2025-04-16
Kimi K2.5	2026-01-27
Grok 4.2	2026-02-17
Grok 4.3	2026-04-30
Sonnet 4.5	2025-09-29
Gemini 2.5 Pro	2025-03-25
DeepSeek 3.2	2025-12-01
Kimi K2	2025-07-11
Grok 4 Fast	2025-09-19
GPT-5-mini	2025-08-07
Gemini 3.1 Flash-Lite	2026-03-03
Grok 4.1 Fast	2025-12-01
Sonnet 4	2025-05-22
GPT-5.4-Nano	2026-03-17
o4-mini	2025-04-16
Gemini 2.5 Flash	2025-04-17
o3-mini	2025-01-31
Haiku 4.5	2025-10-15
Gemini 2.5 Flash-Lite	2025-06-17
GPT-4o	2024-05-13
GPT-5-Nano	2025-08-07
o1	2024-12-05
GPT-4o-mini	2024-07-18
DeepSeek-R1	2025-01-20
DeepSeek-V3	2024-12-26
QwQ-32B-Preview	2024-11-28
QVQ-72B-Preview	2024-12-25
Qwen2.5-72B	2024-09-19
Qwen2.5-32B	2024-09-19
Qwen2.5-VL-72B	2025-01-28
Qwen2-VL-72B	2024-08-29
Claude-3.5-Sonnet	2024-06-20
Claude-3.5-Haiku	2024-10-22
LLaMA-3.3-70B	2024-12-06
Gemini-2.0-Flash	2024-12-11
Gemini-1.5-Pro	2024-02-15
3B-Llama	2024-04-18
3.8B-Phi	2024-04-23
8B-Llama	2024-04-18
8B-Ministral	2024-10-10
7B-Qwen	2024-09-19
12B-Mistral-NeMo	2024-07-18
14B-Qwen	2024-09-19
14B-Phi	2024-12-12
32B-Qwen	2024-09-19
72B-Qwen	2024-09-19
70B-Llama	2024-04-18
GPT-4.1-mini	2025-04-14
GPT-o3	2025-04-16
Claude-3.7-Sonnet	2025-02-24
Claude Opus 4.1	2025-08-05
DeepSeek-V3.1	2025-08-21
Gemma-3 (27B)	2025-03-12
Llama-3.1 (8B)	2024-07-23
Llama-3.3 (70B)	2024-12-06
Mixtral (8×7B)	2023-12-11
Qwen-3 (4B)	2025-04-29
Qwen-3 (30B-MoE)	2025-04-29
GPT-4.1	2025-04-14
GPT-4.1 Nano	2025-04-14
Claude 3.7 Sonnet	2025-02-24
Claude 3.5 Sonnet	2024-06-20
Gemini 2.0 Flash	2024-12-11
GLM-4-32B	2025-04-01
GLM-4-9B	2024-04-08
Qwen2.5-7B	2024-09-19
Llama 4 Maverick	2025-04-05
DeepSeek-V3-671B	2024-12-26
DeepSeek-R1-Distill-Qwen-7B	2025-01-20
Mixtral-8x7B-Instruct-v0.1	2023-12-11
GPT-3.5-turbo-0125	2024-01-25
o1-preview-2024-09-12	2024-09-12
Llama-3-8B-Instruct	2024-04-18
Llama-3-70B-Instruct	2024-04-18
GPT-OSS-20B	2025-08-05
DeepSeek-R1-Distill-Qwen-14B	2025-01-20
GLM-4.5-Air	2025-07-28
GPT-OSS-120B	2025-08-05
Qwen3-235B-A22B-Thinking-2507	2025-07-25
