,,,,,,,,,Who is better?,,,,,
General category,Subtopic/Keywords,Paper title,Language(s) tested,Model(s) tested,Year of publication,Link,Summary,Human comparison?,Closed,Open-weight,Open-source,Benchmark Example,Abstract,Comments?
Domain,Various graduate-level topics,Humanity’s Last Exam,English (mostly),"Fable 5, Opus 5, Gemini 3.7 Flash, GPT-5.6 Sol, GPT-5.5, Gemini 3.1 Pro, GPT-5.4, Opus 4.8, Kimi K3, Gemini 3 Pro, Gemini 3.5 Flash, GPT-5.6 Terra, Opus 4.7, Opus 4.6, GLM 5.2, Muse Spark 1.1, Gemini 3 Flash, GPT-5.2, Grok 4.5, Opus 4.5, Kimi K2.6, GPT-5.6 Luna, GPT-5.1, GPT-5, GLM 5.1, GPT-5.4-mini, DeepSeek 4 Pro, Sonnet 4.6, Grok 4, o3, Kimi K2.5, Grok 4.2, Grok 4.3, Sonnet 4.5, Gemini 2.5 Pro, DeepSeek 3.2, Kimi K2, Grok 4 Fast, GPT-5-mini, Gemini 3.1 Flash-Lite, Grok 4.1 Fast, Sonnet 4, GPT-5.4-Nano, o4-mini, Gemini 2.5 Flash, o3-mini, Haiku 4.5, Gemini 2.5 Flash-Lite, GPT-4o, GPT-5-Nano",2026,https://lastexam.ai/,Overall performance still worse than human experts,no,Humans,Humans,Humans (by assumption),"Question:
In Greek mythology, who was Jason's maternal great-grandfather?","Benchmarks are important tools for tracking the rapid advancements in large language model (LLM) capabilities. However, benchmarks are not keeping pace in difficulty: LLMs now achieve over 90\% accuracy on popular benchmarks like MMLU, limiting informed measurement of state-of-the-art LLM capabilities. In response, we introduce Humanity's Last Exam (HLE), a multi-modal benchmark at the frontier of human knowledge, designed to be the final closed-ended academic benchmark of its kind with broad subject coverage. HLE consists of 2,500 questions across dozens of subjects, including mathematics, humanities, and the natural sciences. HLE is developed globally by subject-matter experts and consists of multiple-choice and short-answer questions suitable for automated grading. Each question has a known solution that is unambiguous and easily verifiable, but cannot be quickly answered via internet retrieval. State-of-the-art LLMs demonstrate low accuracy and calibration on HLE, highlighting a significant gap between current LLM capabilities and the expert human frontier on closed-ended academic questions. To inform research and policymaking upon a clear understanding of model capabilities, we publicly release HLE at this https URL.","SH: I wouldn't include exam-style QA, it's too broad and depends more on factual than on linguistic knowledge
LE: I think we need to, because HLE is one of the highest-profile works related to this, it would be weird to leave it out. Also how can we distinguish factual from linguistic anyway? Linguistic knowledge is often rote memorization"
Domain,Medicine,MedXpertQA,English,"o1, o3-mini, GPT-4o, GPT-4o-mini, DeepSeek-R1, DeepSeek-V3, QwQ-32B-Preview, QVQ-72B-Preview, Qwen2.5-72B, Qwen2.5-32B, Qwen2.5-VL-72B, Qwen2-VL-72B, Claude-3.5-Sonnet, Claude-3.5-Haiku, LLaMA-3.3-70B, Gemini-2.0-Flash, Gemini-1.5-Pro",2025,https://medxpertqa.github.io/,o1 outperforms upper-year medical students. All other models underperform. ,yes,LLMs (1+),Humans,Humans (by assumption),"A 27-year-old woman presents to the emergency department with a migraine headache. She complains of photophobia, aura, and severe nausea. She reports of vomitting several times. Her past medical history shows hypothyroidism and depression. Her medications include levothyroxine and sertraline. On physical exam, she is lying with her hand over her eyes and appears to be in moderate distress. She is given an abortive medication and several doses of an antiemetic. 1 hour later, the migraine has broken but the patient complains of diplopia. Her temperature is 100.3°F (37.9°C), blood pressure is 152/94 mmHg, pulse is 107/min, and respirations are 20/min. On repeat exam, her neck is extended and her jaw is clenched. Her eyes deviate upwards on convergence testing. Her reflexes are 2+ throughout. Laboratory testing is performed and reveals: Serum: Na+: 142 mEq/L K+: 3.4 mEq/L Cl-: 102 mEq/L HCO3-: 25 mEq/L Urea nitrogen: 12 mg/dL Creatinine: 0.9 mg/dL. What is the best next step? 
(A) Dantrolene (B) Propranolol (C) Lorazepam (D) Magnesium sulfate (E) Benztropine","We introduce MedXpertQA, a highly challenging and comprehensive benchmark to evaluate expert-level medical knowledge and advanced reasoning. MedXpertQA includes 4,460 questions spanning 17 specialties and 11 body systems. It includes two subsets, Text for text evaluation and MM for multimodal evaluation. Notably, MM introduces expert-level exam questions with diverse images and rich clinical information, including patient records and examination results, setting it apart from traditional medical multimodal benchmarks with simple QA pairs generated from image captions. MedXpertQA applies rigorous filtering and augmentation to address the insufficient difficulty of existing benchmarks like MedQA, and incorporates specialty board questions to improve clinical relevance and comprehensiveness. We perform data synthesis to mitigate data leakage risk and conduct multiple rounds of expert reviews to ensure accuracy and reliability. We evaluate 18 leading models on \benchmark. Moreover, medicine is deeply connected to real-world decision-making, providing a rich and representative setting for assessing reasoning abilities beyond mathematics and code. To this end, we develop a reasoning-oriented subset to facilitate the assessment of o1-like models. Code and data are available at: this https URL",
Linguistics,Pragmatics; intention behind non-verbal responses,"Unveiling the Limits of Large Language Models in Inferring Pragmatic
Meaning from Non-Verbal Responses",English,"3B-Llama, 3.8B-Phi, 8B-Llama, 8B-Ministral, 7B-Qwen, 12B-Mistral-NeMo, 14B-Qwen, 14B-Phi, 32B-Qwen, 72B-Qwen, 70B-Llama, GPT-4.1-mini, GPT-4o, GPT-o3, Claude-3.7-Sonnet",2026,https://aclanthology.org/2026.acl-long.2101.pdf,Performance worse than humans (undergrad students),yes,Humans,Humans,Humans (by assumption),"Choose the option that most appropriately interprets the context and underlying intent of the conversation below. Assume that both parties faithfully engage in the conversation.
Conversation A: Can you spare some time this weekend? I’m looking for someone to help me move. B: ...
Option-1 B is indirectly rejecting A’s request by deliberately remaining silent.
Option-2 A is asking B for help with moving, which is the act of relocating to a different place.
Option-3 A is asking B for help with moving, but B has nothing to say and didn’t respond.
Option-4 In response to A’s request, B is expressing a positive intention through silence.
Option-5 A is asking a question, and B is not responding to it","Although large language models (LLMs) have shown considerable progress in pragmatic language understanding, prior research has focused mainly on their comprehension of verbal behavior. Nonetheless, non-verbal behavior remains a fundamental component of human communication, especially when deliberately utilized in isolation to convey indirect meanings. In this work, we present the first systematic evaluation of LLMs’ ability to infer pragmatic meaning in dialogue consisting solely of non-verbal responses. We explore three research questions:(1) Can LLMs recognize indirect intent conveyed through non-verbal responses?(2) When and how do LLMs fail to capture non-verbal intent?(3) How can we improve LLMs’ ability to interpret non-verbal intent?. Through the evaluation, we observe that LLMs struggle to infer underlying meaning from non-verbal responses, with accuracy dropping by up to 60% points compared to verbal ones. Further extensive analysis reveals a behavioral pattern in LLMs’ interpretations of non-verbal behavior and demonstrates that in-context learning facilitates pragmatic inference.",
Domain,Finance; monetary policy stance detection,"OP-FED: Opinion, Stance, and Monetary Policy
Annotations on FOMC Transcripts Using Active Learning",English,"GPT-5, GPT-5 nano, Claude Opus 4.1, DeepSeek-V3.1",2026,https://aclanthology.org/2026.findings-acl.32.pdf,Performance worse than humans (undergrad economic students),yes,Humans,Humans,Humans (by assumption),"Sentence: “That sounds like a good idea.”
Opinion: yes
Monetary Policy: yes
MP Context: utterance
StanceNLI: contradiction
Stance Context: utterance","The US Federal Open Market Committee (FOMC) regularly discusses and sets monetary policy, affecting the borrowing and spending decisions of hundreds of millions of people. In this work, we release Op-Fed, a dataset of 1044 human-annotated sentences and their contexts from FOMC transcripts that captures monetary policy stance—specifically, whether an individual FOMC member expresses support for tightening or loosening policy. We faced two major technical challenges in dataset creation: imbalanced classes—we estimate fewer than 8% of sentences express a non-neutral stance toward monetary policy—and inter-sentence dependence—65% of instances require context beyond the sentence-level to annotate. To address these challenges, we developed a five-stage hierarchical schema to isolate aspects of opinion, monetary policy, and stance toward monetary policy, as well as the level of context needed. Second, we selected instances to annotate using active learning, approximately doubling the number of positive instances across all schema aspects. Using Op-Fed, we found a top-performing, closed-weight LLM achieves 0.80 zero-shot accuracy in opinion classification but only 0.61 zero-shot accuracy classifying stance toward monetary policy—below our human baseline of 0.89. We expect Op-Fed to be useful for future model training, confidence calibration, and as a seed dataset for future annotation efforts.",
Linguistics,Semantics; idiom comprehension,"Multilingual Idioms in Sentences and Conversations Across High-,
Medium-, and Low-Resource Languages","18 languages: Chinese, Japanese, Russian, Indonesian, Vietnamese, and the UAE dialect of Arabic, Javanese, Persian, Kannada, Telugu, Tamil, Minangkabau, Sundanese, Kazakh, Yoruba, Arabic [Syrian, Egyptian, and Moroccan dialects]","GPT-5.2, Gemini 2.5 Pro, DeepSeek-R1 (70B), Gemma-3 (27B), Llama-3.1 (8B), Llama-3.3 (70B), Mixtral (8×7B), Qwen-3 (4B), Qwen-3 (30B-MoE)",2026,https://aclanthology.org/2026.acl-long.564.pdf,Performance worse than humans (tie in Vietnamese),yes,Humans,Humans,Humans (by assumption),"Idiom: あぐらをかく (sit cross-legged)
Context: 足が痺れたなら、あぐらをかくのはどうだろう。
“If your legs are numb, how about sitting cross-legged?”
Question: Does あぐらをかく have a figurative or literal meaning in this context?
Answer: Literal","Idiomatic expressions pose a major challenge for multilingual NLP because their meanings shift between figurative and literal usage, often requiring context for accurate interpretation. Prior work has focused on high-resource languages typically evaluates isolated idiom-meaning questions, overlooking realistic discourse. We introduce MIDI, a multilingual idiom dataset spanning 3 high-, 3 medium-, and 12 low-resource languages, curated by native speakers. Unlike previous datasets, MIDI provides idioms embedded in both sentence-level and conversational contexts, capturing both literal and figurative readings. Benchmarking state-of-the-art models shows that idiom comprehension degrades in low-resource languages and that, in all resource tiers, literal interpretations are substantially harder than figurative ones. Conversational context improves performance but does not eliminate these disparities. Through controlled tests and interventions on hidden representations, we further separate memorization from reasoning, exposing core limitations of current models.",
Domain,Engineering; reasoning,EngiBench: A Benchmark for Evaluating Large Language Models on Engineering Problem Solving,English,"GPT-4.1, GPT-4.1 Mini, and GPT-4.1 Nano, Claude 3.7 Sonnet and Claude 3.5 Sonnet, Gemini 2.5 Flash and Gemini 2.0 Flash, GLM-4-32B and GLM-4-9B, Qwen2.5-72B and Qwen2.5-7B, Llama 4 Maverick, Llama 3.3-70B, DeepSeek-V3-671B and DeepSeek-R1-Distill-Qwen-7B, Mixtral-8x7B-Instruct-v0.1",2026,https://aclanthology.org/2026.findings-acl.1810.pdf,Performance worse than human experts on open-ended modeling problems; outputs evaluated by human experts (PhD+),yes,Humans,Humans,Humans (by assumption),"Design a drone system for urban delivery that balances multiple factors, including flight range, payload capacity, and cost
control. Propose a feasible solution and justify your design decisions.","Large language models (LLMs) have shown strong performance on mathematical reasoning under well-defined conditions. However, real-world engineering problems involve uncertainty, context, and open-ended settings that extend beyond symbolic computation. Existing benchmarks largely focus on well-defined or abstract reasoning and therefore fail to capture these complexities. We introduce EngiBench, a hierarchical benchmark designed to evaluate LLMs on solving engineering problems. It spans three levels of increasing difficulty (foundational knowledge retrieval, contextual reasoning, and open-ended modeling) and covers diverse engineering subfields. To facilitate a deeper understanding of model performance, we systematically rewrite each problem into three controlled variants (perturbed, knowledge-enhanced, and math abstraction), enabling us to separately evaluate the model’s robustness, domain-specific knowledge, and mathematical reasoning abilities. Experimental results show clear performance stratification across difficulty levels: model accuracy declines with task complexity, degrades under minor perturbations, and remains substantially below human performance on high-level engineering tasks. These findings reveal that current LLMs still lack the high-level reasoning needed for real-world engineering, highlighting the need for future models with deeper and more reliable problem-solving capabilities. Our source code and data are available at https://github. com/AI4Engi/EngiBench.",
,,LiveLongBench: Tackling Long-Context Understanding for Spoken Texts from Live Streams,"Mandarin Chinese, English","GPT-4o, Gemini-1.5-pro, Claude-3.7-sonnet, GLM4plus, Qwen2.5-7B, LLaMA3.1-8B, Mistral-7B, eCeLLM-M",2026,https://aclanthology.org/2026.findings-acl.1485.pdf,,yes,,,,,"Long-context understanding poses significant challenges in natural language processing, particularly for real-world dialogues characterized by high redundancy and uneven information density. Although large language models (LLMs) achieve impressive results on existing benchmarks, these datasets fail to reflect the complexities of such texts, limiting their applicability to practical scenarios. To bridge this gap, we construct the first spoken long-text dataset, derived from live streams, designed to reflect the redundancy-rich and conversational nature of real-world scenarios. We construct tasks in three categories: retrieval, reasoning, and hybrid tasks. We then evaluate both popular LLMs and specialized methods to assess their ability to understand long contexts in these tasks. Our results show that current methods exhibit strong task-specific preferences and perform poorly on highly redundant inputs, with no single method consistently outperforming others. We propose a new baseline that better handles redundancy in spoken text and achieves strong performance across tasks. Our findings highlight key limitations of current methods and suggest future directions for improving long-context understanding. Finally, our benchmark fills a gap in evaluating long-context spoken language understanding and provides a practical foundation for developing real-world e-commerce systems. The code and benchmark are available at https://github. com/Yarayx/livelongbench.",
,, ,,,,,,,,,,,,
